Id,Title,Topic,Youtube Link,Thumbnail Link,Description,,,
1ukcs2ux7J4,AI series #1 | Make your own google translator using python |No API | No library| Pure Coding,Artificial Intelligence,https://www.youtube.com/watch?v=1ukcs2ux7J4,https://img.youtube.com/vi/1ukcs2ux7J4/maxresdefault.jpg,"Github: There was the problem with large file. So, the google drive link :https://drive.google.com/drive/folders/1IRHucmrrX1kAgJV9vdYIfHcFJ_3KQeCn?usp=sharing  a little help for all computer lovers    Just click on the red subscribe button and turn its color to white  And if you get a knowledge about anything then like this video",,,
wf5z_FPdRb8,Videos audio translator,Projects,https://www.youtube.com/watch?v=wf5z_FPdRb8,https://img.youtube.com/vi/wf5z_FPdRb8/maxresdefault.jpg,This translator is made by python using machine learning and artificial intelligence.It detects the silence in the video and the sentence from the subtitle fiile and translate it according to your language. Right now it's on development phase but soon will make it available through our website.,,,
DoPelLMWwyY,GRAD GRAM APP TUTORIAL ENGLISH,Projects,https://www.youtube.com/watch?v=DoPelLMWwyY,https://img.youtube.com/vi/DoPelLMWwyY/maxresdefault.jpg,App download link: https://play.google.com/store/apps/details?id=puruworld.gradientpaint  https://www.youtube.com/results?search_query=%23puru world https://www.youtube.com/results?search_query=%23puruworld https://www.youtube.com/results?search_query=%23tech https://www.youtube.com/results?search_query=%23technical https://www.youtube.com/results?search_query=%23androidapps https://www.youtube.com/results?search_query=%23app https://www.youtube.com/results?search_query=%23python https://www.youtube.com/results?search_query=%23pygame  a little help for all computer lovers Guys!! subscription is FREEEEEEEEE!! Just click on the red subscribe button and turn its color to white And if you get a knowledge about anything then like this video,,,
ZqV1AxvTDCM,Grad gram app tutorial in hindi,Projects,https://www.youtube.com/watch?v=ZqV1AxvTDCM,https://img.youtube.com/vi/ZqV1AxvTDCM/maxresdefault.jpg,App download link: https://play.google.com/store/apps/details?id=puruworld.gradientpaint  https://www.youtube.com/results?search_query=%23puru world https://www.youtube.com/results?search_query=%23puruworld https://www.youtube.com/results?search_query=%23tech https://www.youtube.com/results?search_query=%23androidapps https://www.youtube.com/results?search_query=%23app  a little help for all computer lovers Guys!! subscription is FREEEEEEEEE!! Just click on the red subscribe button and turn its color to white And if you get a knowledge about anything then like this video,,,
h7iplPyOXIg,How to see deleted whatsapp messages on the phone,Tips and Tricks,https://www.youtube.com/watch?v=h7iplPyOXIg,https://img.youtube.com/vi/h7iplPyOXIg/maxresdefault.jpg,a little help for all computer lovers Guys!! subscription is FREEEEEEEEE!! Just click on the red subscribe button and turn its color to white And if you get a knowledge about anything then like this video  https://www.youtube.com/results?search_query=%23puru world https://www.youtube.com/results?search_query=%23puruworld https://www.youtube.com/results?search_query=%23tech https://www.youtube.com/results?search_query=%23androidapps https://www.youtube.com/results?search_query=%23app,,,
qU7y7YdYV-g,Using cardview in your app for list,Android,https://www.youtube.com/watch?v=qU7y7YdYV-g,https://img.youtube.com/vi/qU7y7YdYV-g/maxresdefault.jpg,a little help for all computer lovers Guys!! subscription is FREEEEEEEEE!! Just click on the red subscribe button and turn its color to white And if you get a knowledge about anything then like this video   App code:http://puruworldofficial.blogspot.com/2018/03/using-cardview-in-your-app-for-list.html   https://www.youtube.com/results?search_query=%23puru world https://www.youtube.com/results?search_query=%23puruworld https://www.youtube.com/results?search_query=%23technical https://www.youtube.com/results?search_query=%23tech https://www.youtube.com/results?search_query=%23androidapps https://www.youtube.com/results?search_query=%23app,,,
uFZtVer4Uiw,Using custom font for your app in android studio,Android,https://www.youtube.com/watch?v=uFZtVer4Uiw,https://img.youtube.com/vi/uFZtVer4Uiw/maxresdefault.jpg,a little help for all computer lovers Guys!! subscription is FREEEEEEEEE!! Just click on the red subscribe button and turn its color to white And if you get a knowledge about anything then like this video App code link:http://puruworldofficial.blogspot.com/2018/03/using-custom-font-for-your-app-in.html   https://www.youtube.com/results?search_query=%23puru world https://www.youtube.com/results?search_query=%23puruworld https://www.youtube.com/results?search_query=%23technical https://www.youtube.com/results?search_query=%23tech https://www.youtube.com/results?search_query=%23androidapps https://www.youtube.com/results?search_query=%23app,,,
QsFqjyPieCQ,Part 3 || Gaming in python || pygame,Python,https://www.youtube.com/watch?v=QsFqjyPieCQ,https://img.youtube.com/vi/QsFqjyPieCQ/maxresdefault.jpg,Game Code: http://puruworldofficial.blogspot.in/2018/03/part-3-gaming-in-python-pygame.html   a little help for all computer lovers Guys!! subscription is FREEEEEEEEE!! Just click on the red subscribe button and turn its color to white And if you get a knowledge about anything then like this video   https://www.youtube.com/results?search_query=%23puru world https://www.youtube.com/results?search_query=%23puruworld https://www.youtube.com/results?search_query=%23technical https://www.youtube.com/results?search_query=%23tech https://www.youtube.com/results?search_query=%23androidapps https://www.youtube.com/results?search_query=%23app,,,
lIMynsXHf_o,Part 2 : Making a game in python || pygame,Python,https://www.youtube.com/watch?v=lIMynsXHf_o,https://img.youtube.com/vi/lIMynsXHf_o/maxresdefault.jpg,"In this video, you will learn  - Changing background of the game - Displaying image in the game - putting an image in a definite position  Stay tuned -Stay subscribed for other parts of the tutorial.Meanwhile like, share and comment your queries.  python code: # Import a library of functions called 'pygame' import pygame # Initialize the game engine  pygame.init() display_width=800 display_height=600 black=(0,0,0) white=(255,255,255) red=(255,0,0)   gamedisplay = pygame.display.set_mode((display_width,display_height)) pygame.display.set_caption(""Cool Game"") clock=pygame.time.Clock() crashed=False  carImg= pygame.image.load('car.png')  def car(x,y):  gamedisplay.blit(carImg,(x,y))  x=(display_width * 0.45) y=(display_height * 0.65)  while not crashed:  for event in pygame.event.get():    if event.type == pygame.QUIT:    crashed= True    gamedisplay.fill(red)  https://www.youtube.com/results?search_query=%23print(event)  car(x,y)    pygame.display.update()  clock.tick(60)  pygame.quit()  quit()      a little help for all computer lovers Guys!! subscription is FREEEEEEEEE!! Just click on the red subscribe button and turn its color to white And if you get a knowledge about anything then like this video   https://www.youtube.com/results?search_query=%23puru world https://www.youtube.com/results?search_query=%23puruworld https://www.youtube.com/results?search_query=%23technical https://www.youtube.com/results?search_query=%23tech https://www.youtube.com/results?search_query=%23androidapps https://www.youtube.com/results?search_query=%23app",,,
l2qDdQnhAkM,Installing the Module in python | pygame | making a gaming screen,Python,https://www.youtube.com/watch?v=l2qDdQnhAkM,https://img.youtube.com/vi/l2qDdQnhAkM/maxresdefault.jpg,Don't forget to share the video with others Python code link: https://puruworldofficial.blogspot.in/2018/03/installing-module-in-python-pygame.html   In command prompt: pip install pygame  a little help for all computer lovers Guys!! subscription is FREEEEEEEEE!! Just click on the red subscribe button and turn its color to white And if you get a knowledge about anything then like this video   https://www.youtube.com/results?search_query=%23puru world https://www.youtube.com/results?search_query=%23puruworld https://www.youtube.com/results?search_query=%23technical https://www.youtube.com/results?search_query=%23tech https://www.youtube.com/results?search_query=%23androidapps https://www.youtube.com/results?search_query=%23app,,,
